Reference,Qty,Value,Description,Link
C1 C3,2,1000uF,Electrolytic capacitor,https://www.tme.eu/pl/details/eeufr1c102l/kondensatory-elektrolityczne-tht/panasonic/
C2,1,100nF,Ceramic capacitor,https://botland.com.pl/kondensatory-ceramiczne-tht/210-kondensator-ceramiczny-100nf50v-tht-10szt-5903351248198.html
"D1,D2",2,IRLED,TSAL6100,https://www.tme.eu/pl/details/tsal6100/diody-led-ir/vishay/
J1,1,Conn_01x02,28AWG wire for connecting battery and PCB,https://allegro.pl/oferta/przewod-awg28-14-zylowy-wielokolorowy-3919-10868617448
Q1,1,IRLZ44N,IRLZ44N TO-220,https://allegro.pl/produkt/tranzystor-international-rectifier-irlz44n-a8b5211f-ba2b-43ab-8290-c58684b65e1a?offerId=18157580899
R1 R4,2,1.5R,1.5Ω 3W Resistor,https://www.tme.eu/pl/details/sp123wf150kt2e/rezystory-smd/royalohm/
R2,1,220R,220Ω Resistor,https://botland.com.pl/rezystory-przewlekane/20014-rezystor-justpi-tht-cf-weglowy-14w-220-30szt-5904422329020.html
R3,1,10K,10KΩ Resistor,https://botland.com.pl/rezystory-przewlekane/20150-rezystor-justpi-tht-cf-weglowy-14w-10k-30szt-5904422329280.html
SW1,1,Button,Tact switch 6x6mm 17mm,https://www.tme.eu/pl/details/tl1105lf250q/mikroprzelaczniki-tact/e-switch/
U1,1,ATtiny85-20P,ATtiny85-20PU (DIP-8),https://www.tme.eu/pl/details/attiny85-20pu/rodzina-avr-8-bit/microchip-technology/
none,1,none,Breadboard (for programming ATtiny85-20P),https://botland.com.pl/plytki-stykowe/19943-plytka-stykowa-justpi-830-otworow-5904422328610.html
none,1,none,"Arduino Nano, or any other arduino clone (used for programming ATtiny85-20P)",https://allegro.pl/oferta/nano-3-0-atmega328-ch340-kompatybilny-z-arduino-usb-c-niezlutowany-16578881126?bi_s=ads&bi_m=productlisting:desktop:query&bi_c=YjZjZGNjM2YtNzJlYS00ODI2LWJkMGYtMmU3ZjY2NjZlY2QzAA&bi_t=ape&referrer=proxy&emission_unit_id=14722f74-ce32-4fdc-acb4-0dcbdba13c6f
none,1,none,Dupont wires (for connecting Arduino with ATtiny85-20P and breadboard),https://botland.com.pl/przewody-polaczeniowe-mesko-meskie/19622-zestaw-przewodow-polaczeniowych-justpi-mesko-meskie-20cm-40szt-5903351243018.html
none,1,none,Adafruit Micro-Lipo Charger for LiPoly Batt with USB Type C Jack (ID:4410),https://www.adafruit.com/product/4410?srsltid=AfmBOorncNOWt1egOeEq1IOnFflrgL5dVPXEL2cLVGVNT9tOS6qbx_B8
none,1,none,LP502535 Li-Po,https://allegro.pl/oferta/bateria-akumulator-li-poly-450mah-3-7v-502535-15928323821
TOTAL,≈ 38.67USD, , , 
